epochs           90
ckpt_save_interval 2
workers          4
mode             train
ckpt             None
net              pointnet2_msg
lr               0.0001
lr_decay         0.2
lr_clip          1e-06
decay_step_list  [50, 70, 80, 90]
weight_decay     0.001
output_dir       output
extra_tag        default
num_points       4096
use_sgd          False
batch_size       16
===============TRAIN EPOCH 1================
training epoch 1: it=153/232, total_it=154, loss=0.45827, fg_iou=0.576, accuracy=0.941, lr=0.000100
training epoch 1: it=154/232, total_it=155, loss=0.73723, fg_iou=0.304, accuracy=0.928, lr=0.000100
training epoch 1: it=155/232, total_it=156, loss=0.56117, fg_iou=0.510, accuracy=0.956, lr=0.000100
training epoch 1: it=156/232, total_it=157, loss=0.40672, fg_iou=0.648, accuracy=0.956, lr=0.000100
training epoch 1: it=157/232, total_it=158, loss=0.45532, fg_iou=0.614, accuracy=0.959, lr=0.000100
training epoch 1: it=158/232, total_it=159, loss=0.55212, fg_iou=0.487, accuracy=0.938, lr=0.000100
training epoch 1: it=159/232, total_it=160, loss=0.57101, fg_iou=0.470, accuracy=0.945, lr=0.000100
training epoch 1: it=160/232, total_it=161, loss=0.59035, fg_iou=0.469, accuracy=0.953, lr=0.000100
training epoch 1: it=161/232, total_it=162, loss=0.53512, fg_iou=0.544, accuracy=0.963, lr=0.000100
training epoch 1: it=162/232, total_it=163, loss=0.80673, fg_iou=0.219, accuracy=0.931, lr=0.000100
training epoch 1: it=163/232, total_it=164, loss=0.69556, fg_iou=0.367, accuracy=0.946, lr=0.000100
training epoch 1: it=164/232, total_it=165, loss=0.43649, fg_iou=0.630, accuracy=0.961, lr=0.000100
training epoch 1: it=165/232, total_it=166, loss=0.47640, fg_iou=0.562, accuracy=0.955, lr=0.000100
training epoch 1: it=166/232, total_it=167, loss=0.44924, fg_iou=0.629, accuracy=0.959, lr=0.000100
training epoch 1: it=167/232, total_it=168, loss=0.48241, fg_iou=0.600, accuracy=0.967, lr=0.000100
training epoch 1: it=168/232, total_it=169, loss=0.43852, fg_iou=0.587, accuracy=0.955, lr=0.000100
training epoch 1: it=169/232, total_it=170, loss=0.42738, fg_iou=0.613, accuracy=0.957, lr=0.000100
training epoch 1: it=170/232, total_it=171, loss=0.53770, fg_iou=0.520, accuracy=0.955, lr=0.000100
training epoch 1: it=171/232, total_it=172, loss=0.40255, fg_iou=0.662, accuracy=0.966, lr=0.000100
training epoch 1: it=172/232, total_it=173, loss=0.39684, fg_iou=0.626, accuracy=0.960, lr=0.000100
training epoch 1: it=173/232, total_it=174, loss=0.54108, fg_iou=0.480, accuracy=0.923, lr=0.000100
training epoch 1: it=174/232, total_it=175, loss=0.52046, fg_iou=0.586, accuracy=0.966, lr=0.000100
training epoch 1: it=175/232, total_it=176, loss=0.37265, fg_iou=0.628, accuracy=0.946, lr=0.000100
training epoch 1: it=176/232, total_it=177, loss=0.56160, fg_iou=0.453, accuracy=0.926, lr=0.000100
training epoch 1: it=177/232, total_it=178, loss=0.47730, fg_iou=0.531, accuracy=0.956, lr=0.000100
training epoch 1: it=178/232, total_it=179, loss=0.61931, fg_iou=0.452, accuracy=0.961, lr=0.000100
training epoch 1: it=179/232, total_it=180, loss=0.43742, fg_iou=0.576, accuracy=0.929, lr=0.000100
training epoch 1: it=180/232, total_it=181, loss=0.44914, fg_iou=0.562, accuracy=0.948, lr=0.000100
training epoch 1: it=181/232, total_it=182, loss=0.63905, fg_iou=0.385, accuracy=0.939, lr=0.000100
training epoch 1: it=182/232, total_it=183, loss=0.40322, fg_iou=0.625, accuracy=0.966, lr=0.000100
training epoch 1: it=183/232, total_it=184, loss=0.61747, fg_iou=0.406, accuracy=0.942, lr=0.000100
training epoch 1: it=184/232, total_it=185, loss=0.45604, fg_iou=0.561, accuracy=0.946, lr=0.000100
training epoch 1: it=185/232, total_it=186, loss=0.52211, fg_iou=0.499, accuracy=0.949, lr=0.000100
training epoch 1: it=186/232, total_it=187, loss=0.83580, fg_iou=0.201, accuracy=0.947, lr=0.000100
training epoch 1: it=187/232, total_it=188, loss=0.46493, fg_iou=0.602, accuracy=0.966, lr=0.000100
training epoch 1: it=188/232, total_it=189, loss=0.47375, fg_iou=0.554, accuracy=0.938, lr=0.000100
training epoch 1: it=189/232, total_it=190, loss=0.46786, fg_iou=0.598, accuracy=0.962, lr=0.000100
training epoch 1: it=190/232, total_it=191, loss=0.49109, fg_iou=0.565, accuracy=0.963, lr=0.000100
training epoch 1: it=191/232, total_it=192, loss=0.42984, fg_iou=0.632, accuracy=0.960, lr=0.000100
training epoch 1: it=192/232, total_it=193, loss=0.49332, fg_iou=0.587, accuracy=0.952, lr=0.000100
training epoch 1: it=193/232, total_it=194, loss=0.52358, fg_iou=0.528, accuracy=0.942, lr=0.000100
training epoch 1: it=194/232, total_it=195, loss=0.53141, fg_iou=0.533, accuracy=0.956, lr=0.000100
training epoch 1: it=195/232, total_it=196, loss=0.53749, fg_iou=0.524, accuracy=0.960, lr=0.000100
training epoch 1: it=196/232, total_it=197, loss=0.47592, fg_iou=0.595, accuracy=0.959, lr=0.000100
training epoch 1: it=197/232, total_it=198, loss=0.40616, fg_iou=0.658, accuracy=0.964, lr=0.000100
training epoch 1: it=198/232, total_it=199, loss=0.34099, fg_iou=0.713, accuracy=0.971, lr=0.000100
training epoch 1: it=199/232, total_it=200, loss=0.50279, fg_iou=0.545, accuracy=0.962, lr=0.000100
training epoch 1: it=200/232, total_it=201, loss=0.47029, fg_iou=0.606, accuracy=0.967, lr=0.000100
training epoch 1: it=201/232, total_it=202, loss=0.26478, fg_iou=0.773, accuracy=0.962, lr=0.000100
training epoch 1: it=202/232, total_it=203, loss=0.46310, fg_iou=0.597, accuracy=0.968, lr=0.000100
training epoch 1: it=203/232, total_it=204, loss=0.45786, fg_iou=0.535, accuracy=0.953, lr=0.000100
training epoch 1: it=204/232, total_it=205, loss=0.49245, fg_iou=0.520, accuracy=0.950, lr=0.000100
training epoch 1: it=205/232, total_it=206, loss=0.72414, fg_iou=0.331, accuracy=0.961, lr=0.000100
training epoch 1: it=206/232, total_it=207, loss=0.36355, fg_iou=0.684, accuracy=0.969, lr=0.000100
training epoch 1: it=207/232, total_it=208, loss=0.62178, fg_iou=0.425, accuracy=0.952, lr=0.000100
training epoch 1: it=208/232, total_it=209, loss=0.41993, fg_iou=0.607, accuracy=0.966, lr=0.000100
training epoch 1: it=209/232, total_it=210, loss=0.41420, fg_iou=0.605, accuracy=0.959, lr=0.000100
training epoch 1: it=210/232, total_it=211, loss=0.33963, fg_iou=0.684, accuracy=0.963, lr=0.000100
training epoch 1: it=211/232, total_it=212, loss=0.38565, fg_iou=0.649, accuracy=0.966, lr=0.000100
training epoch 1: it=212/232, total_it=213, loss=0.69917, fg_iou=0.334, accuracy=0.954, lr=0.000100
training epoch 1: it=213/232, total_it=214, loss=0.40479, fg_iou=0.650, accuracy=0.971, lr=0.000100
training epoch 1: it=214/232, total_it=215, loss=0.66307, fg_iou=0.415, accuracy=0.967, lr=0.000100
training epoch 1: it=215/232, total_it=216, loss=0.51949, fg_iou=0.527, accuracy=0.951, lr=0.000100
training epoch 1: it=216/232, total_it=217, loss=0.42411, fg_iou=0.615, accuracy=0.961, lr=0.000100
training epoch 1: it=217/232, total_it=218, loss=0.37185, fg_iou=0.656, accuracy=0.965, lr=0.000100
training epoch 1: it=218/232, total_it=219, loss=0.31418, fg_iou=0.747, accuracy=0.974, lr=0.000100
training epoch 1: it=219/232, total_it=220, loss=0.47800, fg_iou=0.601, accuracy=0.970, lr=0.000100
training epoch 1: it=220/232, total_it=221, loss=0.39590, fg_iou=0.655, accuracy=0.966, lr=0.000100
training epoch 1: it=221/232, total_it=222, loss=0.41735, fg_iou=0.609, accuracy=0.957, lr=0.000100
training epoch 1: it=222/232, total_it=223, loss=0.44657, fg_iou=0.621, accuracy=0.970, lr=0.000100
training epoch 1: it=223/232, total_it=224, loss=0.46197, fg_iou=0.561, accuracy=0.945, lr=0.000100
training epoch 1: it=224/232, total_it=225, loss=0.33110, fg_iou=0.696, accuracy=0.953, lr=0.000100
training epoch 1: it=225/232, total_it=226, loss=0.42302, fg_iou=0.597, accuracy=0.962, lr=0.000100
training epoch 1: it=226/232, total_it=227, loss=0.56216, fg_iou=0.477, accuracy=0.962, lr=0.000100
training epoch 1: it=227/232, total_it=228, loss=0.36938, fg_iou=0.648, accuracy=0.960, lr=0.000100
training epoch 1: it=228/232, total_it=229, loss=0.52818, fg_iou=0.528, accuracy=0.967, lr=0.000100
training epoch 1: it=229/232, total_it=230, loss=0.44695, fg_iou=0.581, accuracy=0.961, lr=0.000100
training epoch 1: it=230/232, total_it=231, loss=0.35763, fg_iou=0.635, accuracy=0.946, lr=0.000100
training epoch 1: it=231/232, total_it=232, loss=0.50645, fg_iou=0.544, accuracy=0.966, lr=0.000100
===============TRAIN EPOCH 2================
training epoch 2: it=0/232, total_it=233, loss=0.35608, fg_iou=0.644, accuracy=0.966, lr=0.000100
training epoch 2: it=1/232, total_it=234, loss=0.45772, fg_iou=0.527, accuracy=0.947, lr=0.000100
training epoch 2: it=2/232, total_it=235, loss=0.55093, fg_iou=0.497, accuracy=0.949, lr=0.000100
training epoch 2: it=3/232, total_it=236, loss=0.50354, fg_iou=0.528, accuracy=0.962, lr=0.000100
training epoch 2: it=4/232, total_it=237, loss=0.41814, fg_iou=0.639, accuracy=0.971, lr=0.000100
training epoch 2: it=5/232, total_it=238, loss=0.40711, fg_iou=0.625, accuracy=0.961, lr=0.000100
training epoch 2: it=6/232, total_it=239, loss=0.33488, fg_iou=0.677, accuracy=0.967, lr=0.000100
training epoch 2: it=7/232, total_it=240, loss=0.36908, fg_iou=0.596, accuracy=0.960, lr=0.000100
training epoch 2: it=8/232, total_it=241, loss=0.33293, fg_iou=0.670, accuracy=0.971, lr=0.000100
